,ad_id,location,price,title,room_count,project
3,1235353847,Cumhuriyet Mah.,"15,600,000 TL",Satılık Köşe Kapalı Mutfak,1+1,
4,1219289273,Cumhuriyet Mah.,"8,250,000 TL",ŞİŞLİ MERKEZDE SATILIK 3.5+1,3.5+1,
5,1224902121,Cumhuriyet Mah.,"15,500,000 TL",SİNPAŞ QUEEN BOMONTİ SATILIK KÖŞE BALKONLU 2+1 DAİRE,2+1,SİNPAŞ
6,1015229674,Cumhuriyet Mah.,"30,600,000 TL",DİVAN RESIDENCE BOMONTİ'DE HALİÇ MANZARALI SATILIK 2+1 DAİRE,2+1,Divan
7,981787136,Cumhuriyet Mah.,"12,000,000 TL",ANTHILLL RESİDENCE YÜKSEK KATTA ŞEHİR MANZARALI,1+1,Anthill
8,1246550873,Cumhuriyet Mah.,"8,900,000 TL",CADDEDEN BOMONTİ' DE 3+1 SIFIR SATILIK DAİRE,3+1,
9,1246541430,Cumhuriyet Mah.,"16,950,000 TL",Высокий престиж - ANTHILL 2+1 حق شهروندی TEK YETKİLİDEN Boş,2+1,Anthill
10,1228925414,Cumhuriyet Mah.,"18,000,000 TL","SİNPAŞ QUEEN'DE 2+1 YAŞAMAYA HAZIR LÜKS,ÖZEL, BALKONLU DAİRE",2+1,SİNPAŞ
11,1226132091,Cumhuriyet Mah.,"8,000,000 TL",SİNPAŞ QUEEN BOMONTİ SATILIK EŞYALI FIRSAT BOŞ STÜDYO DAİRE,Studio Flat (1+0),SİNPAŞ
12,1240878169,Cumhuriyet Mah.,"18,500,000 TL",BOMONTİ SİNPAŞ QUEEN 1+1 VATANDAŞLIĞA UYGUN YÜKSEK KAT BOŞ-ŞİŞLİ,1+1,SİNPAŞ
13,1227957811,Cumhuriyet Mah.,"19,990,000 TL",SİNPAŞ QUEEN BOMONTİ TOWERDA EŞSİZ KÖŞE 2+1 SATILIK DAİRE,2+1,SİNPAŞ
14,1246740205,Cumhuriyet Mah.,"21,300,000 TL",SİNPAŞ QUEEN BÜYÜK TIP 2+1 DAİRE (tek yetkili),2+1,SİNPAŞ
15,1105215752,Cumhuriyet Mah.,"8,100,000 TL",Bomonti Elysium art Rezidans dairemiz 9. Kattadır,1+1,Elysium Fantastic
16,1206280036,Cumhuriyet Mah.,"19,000,000 TL",SİNPAŞ QUEEN 1+1 YÜKSEK KAT EŞYALI SATILIK DAİRE,1+1,SİNPAŞ
17,1167031275,Cumhuriyet Mah.,"10,050,000 TL",ŞİŞLİ BOMONTİ ANTHILL RESIDENCE FULL EŞYALI SATILIK 1+1 DAİRE,1+1,Anthill
